source,source_id,name,primary_category,lat,lon,source_url,last_seen,wikidata_qid
wikipedia,2338242,Adolphus Busch Hall,,42.37680556,-71.11413889,https://en.wikipedia.org/?curid=2338242,2025-10-07T22:26:46.529629,Q4684454
wikipedia,10840089,Austin Hall (Harvard University),,,,https://en.wikipedia.org/?curid=10840089,2025-10-07T22:26:46.529629,Q4823114
wikipedia,55526631,Baker Library/Bloomberg Center,,,,https://en.wikipedia.org/?curid=55526631,2025-10-07T22:26:46.529629,Q42377658
wikipedia,17648004,Beck-Warren House,,,,https://en.wikipedia.org/?curid=17648004,2025-10-07T22:26:46.529629,Q4878591
wikipedia,17648089,Bertram Hall (Radcliffe College),,,,https://en.wikipedia.org/?curid=17648089,2025-10-07T22:26:46.529629,Q4895779
wikipedia,42685553,Boylston Hall (Harvard University),,,,https://en.wikipedia.org/?curid=42685553,2025-10-07T22:26:46.529629,Q16953306
wikipedia,55540157,Burden Hall,,,,https://en.wikipedia.org/?curid=55540157,2025-10-07T22:26:46.529629,Q48837745
wikipedia,54424536,Cabot Science Library,,,,https://en.wikipedia.org/?curid=54424536,2025-10-07T22:26:46.529629,Q39087142
wikipedia,345924,Carpenter Center for the Visual Arts,,42.37361111,-71.11430556,https://en.wikipedia.org/?curid=345924,2025-10-07T22:26:46.529629,Q2940137
wikipedia,55751634,Ruth Mulan Chu Chao Center,,,,https://en.wikipedia.org/?curid=55751634,2025-10-07T22:26:46.529629,Q48839938
wikipedia,8094365,The Class of 1959 Chapel,,,,https://en.wikipedia.org/?curid=8094365,2025-10-07T22:26:46.529629,Q7723285
wikipedia,55012112,Conant Hall,,,,https://en.wikipedia.org/?curid=55012112,2025-10-07T22:26:46.529629,Q37846165
wikipedia,17697307,Dana-Palmer House,,,,https://en.wikipedia.org/?curid=17697307,2025-10-07T22:26:46.529629,Q5214648
wikipedia,2167652,"Divinity Hall, Harvard Divinity School",,42.3786,-71.1143,https://en.wikipedia.org/?curid=2167652,2025-10-07T22:26:46.529629,Q5284393
wikipedia,41473964,Gore Hall,,,,https://en.wikipedia.org/?curid=41473964,2025-10-07T22:26:46.529629,Q16972655
wikipedia,17601836,Grace Hopkinson Eliot Hall,,,,https://en.wikipedia.org/?curid=17601836,2025-10-07T22:26:46.529629,Q12057051
wikipedia,4972477,Harvard Art Museums,,42.37419444,-71.11469444,https://en.wikipedia.org/?curid=4972477,2025-10-07T22:26:46.529629,Q3783572
wikipedia,3891927,Harvard Graduate Center,,,,https://en.wikipedia.org/?curid=3891927,2025-10-07T22:26:46.529629,Q5676413
wikipedia,42685568,Harvard Hall,,,,https://en.wikipedia.org/?curid=42685568,2025-10-07T22:26:46.529629,Q16972823
wikipedia,17687311,Harvard Lampoon Building,,,,https://en.wikipedia.org/?curid=17687311,2025-10-07T22:26:46.529629,Q5676473
wikipedia,1828266,Harvard Library,,42.3733923,-71.1186862,https://en.wikipedia.org/?curid=1828266,2025-10-07T22:26:46.529629,Q3232931
