id,name,source_url,last_seen,source
1,Adolphus Busch Hall,https://en.wikipedia.org/?curid=2338242,2025-10-08T00:52:11.318290,wikipedia
2,Austin Hall (Harvard University),https://en.wikipedia.org/?curid=10840089,2025-10-08T00:52:11.318290,wikipedia
3,Baker Library/Bloomberg Center,https://en.wikipedia.org/?curid=55526631,2025-10-08T00:52:11.318290,wikipedia
4,Beck-Warren House,https://en.wikipedia.org/?curid=17648004,2025-10-08T00:52:11.318290,wikipedia
5,Bertram Hall (Radcliffe College),https://en.wikipedia.org/?curid=17648089,2025-10-08T00:52:11.318290,wikipedia
6,Boylston Hall (Harvard University),https://en.wikipedia.org/?curid=42685553,2025-10-08T00:52:11.318290,wikipedia
7,Burden Hall,https://en.wikipedia.org/?curid=55540157,2025-10-08T00:52:11.318290,wikipedia
8,Cabot Science Library,https://en.wikipedia.org/?curid=54424536,2025-10-08T00:52:11.318290,wikipedia
9,Carpenter Center for the Visual Arts,https://en.wikipedia.org/?curid=345924,2025-10-08T00:52:11.318290,wikipedia
10,Ruth Mulan Chu Chao Center,https://en.wikipedia.org/?curid=55751634,2025-10-08T00:52:11.318290,wikipedia
11,The Class of 1959 Chapel,https://en.wikipedia.org/?curid=8094365,2025-10-08T00:52:11.318290,wikipedia
12,Conant Hall,https://en.wikipedia.org/?curid=55012112,2025-10-08T00:52:11.318290,wikipedia
13,Dana-Palmer House,https://en.wikipedia.org/?curid=17697307,2025-10-08T00:52:11.318290,wikipedia
14,"Divinity Hall, Harvard Divinity School",https://en.wikipedia.org/?curid=2167652,2025-10-08T00:52:11.318290,wikipedia
15,Gore Hall,https://en.wikipedia.org/?curid=41473964,2025-10-08T00:52:11.318290,wikipedia
16,Grace Hopkinson Eliot Hall,https://en.wikipedia.org/?curid=17601836,2025-10-08T00:52:11.318290,wikipedia
17,Harvard Art Museums,https://en.wikipedia.org/?curid=4972477,2025-10-08T00:52:11.318290,wikipedia
18,Harvard Graduate Center,https://en.wikipedia.org/?curid=3891927,2025-10-08T00:52:11.318290,wikipedia
19,Harvard Hall,https://en.wikipedia.org/?curid=42685568,2025-10-08T00:52:11.318290,wikipedia
20,Harvard Lampoon Building,https://en.wikipedia.org/?curid=17687311,2025-10-08T00:52:11.318290,wikipedia
21,Harvard Library,https://en.wikipedia.org/?curid=1828266,2025-10-08T00:52:11.318290,wikipedia
22,Harvard Museum of Natural History,https://en.wikipedia.org/?curid=8370206,2025-10-08T00:52:11.318290,wikipedia
23,Harvard Union,https://en.wikipedia.org/?curid=17704131,2025-10-08T00:52:11.318290,wikipedia
24,Harvard University Herbaria,https://en.wikipedia.org/?curid=8370551,2025-10-08T00:52:11.318290,wikipedia
25,Harvard Yard,https://en.wikipedia.org/?curid=320200,2025-10-08T00:52:11.318290,wikipedia
26,Harvard–Smithsonian Center for Astrophysics,https://en.wikipedia.org/?curid=1505128,2025-10-08T00:52:11.318290,wikipedia
27,Harvard–Yenching Library,https://en.wikipedia.org/?curid=22856069,2025-10-08T00:52:11.318290,wikipedia
28,Holden Chapel,https://en.wikipedia.org/?curid=7742379,2025-10-08T00:52:11.318290,wikipedia
29,Houghton Library,https://en.wikipedia.org/?curid=12297557,2025-10-08T00:52:11.318290,wikipedia
30,Joseph Lovering House,https://en.wikipedia.org/?curid=17704949,2025-10-08T00:52:11.318290,wikipedia
31,Lamont Library,https://en.wikipedia.org/?curid=33783205,2025-10-08T00:52:11.318290,wikipedia
32,Loeb House,https://en.wikipedia.org/?curid=55539670,2025-10-08T00:52:11.318290,wikipedia
33,Memorial Church of Harvard University,https://en.wikipedia.org/?curid=10997087,2025-10-08T00:52:11.318290,wikipedia
34,Memorial Hall (Harvard University),https://en.wikipedia.org/?curid=10436889,2025-10-08T00:52:11.318290,wikipedia
35,Meyer Gate,https://en.wikipedia.org/?curid=62371727,2025-10-08T00:52:11.318290,wikipedia
36,Monroe C. Gutman Library,https://en.wikipedia.org/?curid=56068825,2025-10-08T00:52:11.318290,wikipedia
37,Morgan Hall,https://en.wikipedia.org/?curid=55538868,2025-10-08T00:52:11.318290,wikipedia
38,Peabody Museum of Archaeology and Ethnology,https://en.wikipedia.org/?curid=4563276,2025-10-08T00:52:11.318290,wikipedia
39,Peabody Terrace,https://en.wikipedia.org/?curid=44843466,2025-10-08T00:52:11.318290,wikipedia
40,President's House (Harvard),https://en.wikipedia.org/?curid=8716125,2025-10-08T00:52:11.318290,wikipedia
41,Radcliffe Quadrangle (Harvard),https://en.wikipedia.org/?curid=1694353,2025-10-08T00:52:11.318290,wikipedia
42,Schlesinger Library,https://en.wikipedia.org/?curid=3285045,2025-10-08T00:52:11.318290,wikipedia
43,Harvard Science Center,https://en.wikipedia.org/?curid=1286088,2025-10-08T00:52:11.318290,wikipedia
44,Sears Tower – Harvard Observatory,https://en.wikipedia.org/?curid=17710839,2025-10-08T00:52:11.318290,wikipedia
45,Sever Hall,https://en.wikipedia.org/?curid=10410693,2025-10-08T00:52:11.318290,wikipedia
46,Smith Campus Center,https://en.wikipedia.org/?curid=44837221,2025-10-08T00:52:11.318290,wikipedia
47,Spangler Center,https://en.wikipedia.org/?curid=55524747,2025-10-08T00:52:11.318290,wikipedia
48,Tata Hall,https://en.wikipedia.org/?curid=60212839,2025-10-08T00:52:11.318290,wikipedia
49,Treadwell-Sparks House,https://en.wikipedia.org/?curid=17710700,2025-10-08T00:52:11.318290,wikipedia
50,University Hall (Harvard University),https://en.wikipedia.org/?curid=10448220,2025-10-08T00:52:11.318290,wikipedia
51,University Museum (Harvard University),https://en.wikipedia.org/?curid=17710645,2025-10-08T00:52:11.318290,wikipedia
52,Veritas Science Center (formerly New Research Building),https://en.wikipedia.org/?curid=12993572,2025-10-08T00:52:11.318290,wikipedia
53,Villa I Tatti,https://en.wikipedia.org/?curid=27150585,2025-10-08T00:52:11.318290,wikipedia
54,Widener Library,https://en.wikipedia.org/?curid=678794,2025-10-08T00:52:11.318290,wikipedia
55,William James Hall (Harvard University),https://en.wikipedia.org/?curid=66486330,2025-10-08T00:52:11.318290,wikipedia
