id,name,source_url,last_seen,source,latitude,longitude,aliases,wikibase_item
1,Widener Library,https://en.wikipedia.org/?curid=678794,2025-12-02T18:02:44.013962,wikipedia,42.37344444,-71.1165,Harry Elkins Widener Memorial Library,Q1060854
2,Massachusetts Hall (Harvard University),https://en.wikipedia.org/?curid=2614601,2025-12-02T18:02:44.013962,wikipedia,42.37443889,-71.11828333,,Q6784282
3,Memorial Church of Harvard University,https://en.wikipedia.org/?curid=10997087,2025-12-02T18:02:44.013962,wikipedia,42.3749095,-71.1161574,Harvard University Memorial Church,Q3459140
4,Sever Hall,https://en.wikipedia.org/?curid=10410693,2025-12-02T18:02:44.013962,wikipedia,42.37436111,-71.11547222,,Q7457805
5,Harvard Hall,https://en.wikipedia.org/?curid=42685568,2025-12-02T18:02:44.013962,wikipedia,42.37486111,-71.11819444,,Q16972823
6,Harvard Science Center,https://en.wikipedia.org/?curid=1286088,2025-12-02T18:02:44.013962,wikipedia,42.3764,-71.1166,Harvard University Science Center,Q14715518
7,Memorial Hall (Harvard University),https://en.wikipedia.org/?curid=10436889,2025-12-02T18:02:44.013962,wikipedia,42.37588889,-71.11491667,,Q6815427
8,John Harvard Statue,https://en.wikipedia.org/?curid=69141180,2025-12-02T18:02:44.013962,wikipedia,,,,
9,Johnston Gate,https://en.wikipedia.org/?curid=10142416,2025-12-02T18:02:44.013962,wikipedia,,,,Q6268635
10,Meyer Gate,https://en.wikipedia.org/?curid=62371727,2025-12-02T18:02:44.013962,wikipedia,,,,Q85785123
11,Harvard Art Museums,https://en.wikipedia.org/?curid=4972477,2025-12-02T18:02:44.013962,wikipedia,42.37419444,-71.11469444,Harvard Art Museum|Harvard University Art Museums,Q3783572
12,Harvard Lampoon Building,https://en.wikipedia.org/?curid=17687311,2025-12-02T18:02:44.013962,wikipedia,,,,Q5676473
13,Lowell House,https://en.wikipedia.org/?curid=2226387,2025-12-02T18:02:44.013962,wikipedia,42.37078,-71.11818,,Q6693225
14,Weld Boathouse,https://en.wikipedia.org/?curid=8259851,2025-12-02T18:02:44.013962,wikipedia,42.3694,-71.1221,,Q7980854
15,Weeks Footbridge,https://en.wikipedia.org/?curid=23125001,2025-12-02T18:02:44.013962,wikipedia,,,,
16,Langdell Hall,https://en.wikipedia.org/?curid=12897075,2025-12-02T18:02:44.013962,wikipedia,42.377942,-71.118439,,Q6485777
17,Smith Campus Center,https://en.wikipedia.org/?curid=44837221,2025-12-02T18:02:44.013962,wikipedia,,,Richard A. and Susan F. Smith Campus Center|Holyoke Center,Q18749200
18,Science and Engineering Complex,,,,,,,
